ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
25318;0,0;-0,03;42,02;-1,11;0,03;0,21;1100;0;0;0;14,82;24,0;56;32;254,0;254,0;0;0,21;4,5;1;90,5;-0,0;37,26;0,88;7,16;18,18;10,08;-0,0;0;0
25328;0,0;-0,03;41,98;-1,49;-0,0;0,27;1100;0;0;0;14,69;24,0;56;32;254,0;254,0;0;0,21;4,5;1;90,5;-0,0;36,93;0,17;9,0;18,18;10,06;-0,0;0;0
25338;0,0;-0,02;42,0;-1,16;-0,01;0,03;1100;0;0;0;14,82;24,0;56;32;254,0;254,0;0;0,21;4,5;1;90,5;-0,0;37,25;0,38;1,16;18,18;10,05;-0,0;0;0
25348;0,0;-0,02;42,01;-1,19;0,05;0,05;1100;0;0;0;14,86;24,0;56;32;254,0;254,0;0;0,21;4,5;2;90,5;-0,0;37,34;1,51;1,62;18,22;10,04;-0,0;0;0
25358;0,0;-0,02;42,0;-1,43;-0,0;-0,04;1100;0;0;0;15,57;23,0;57;32;254,0;254,0;0;0,21;4,5;2;90,5;-0,0;37,5;0,17;-1,39;18,22;10,04;-0,0;0;0
25368;0,0;-0,03;42,0;-1,11;0,01;0,17;1100;0;0;0;15,55;23,0;57;32;254,0;254,0;0;0,21;4,5;2;90,5;-0,0;37,45;0,25;5,78;18,22;10,04;-0,0;0;0
25378;0,0;-0,02;42,0;-1,01;0,04;0,12;1100;0;0;0;15,41;23,0;57;32;254,0;254,0;0;0,22;4,6;3;90,5;-0,0;37,12;1,3;3,93;18,26;10,04;-0,0;0;0
25388;0,0;-0,02;42,01;-1,29;0,03;0,29;1100;0;0;0;14,5;24,3;58;32;254,0;254,0;0;0,22;4,6;3;90,5;-0,0;36,91;0,88;9,7;18,26;10,05;-0,0;0;0
25398;0,0;-0,02;41,99;-1,27;-0,04;0,14;1100;0;0;0;14,68;24,3;58;32;254,0;254,0;0;0,22;4,6;3;90,5;-0,0;37,36;1,43;4,62;18,26;10,06;-0,0;0;0
25408;0,0;-0,01;42,0;-1,06;0,01;0,21;1100;0;0;0;14,83;24,3;58;32;254,0;254,0;0;0,22;4,6;3;90,5;-0,0;37,73;0,25;7,16;18,26;10,07;-0,0;0;0
25418;0,0;-0,02;42,02;-1,31;0,0;0,0;1100;0;0;0;14,6;24,3;58;32;254,0;254,0;0;0,22;4,6;4;90,5;-0,0;37,14;0,04;0,0;18,3;10,09;-0,0;0;0
25428;0,0;-0,02;41,99;-1,29;0,0;0,05;1100;0;0;0;15,16;23,4;59;32;254,0;254,0;0;0,22;4,6;4;90,5;-0,0;37,15;0,04;1,85;18,3;10,11;-0,0;0;0
25438;0,0;-0,02;42,01;-0,88;0,06;0,0;1100;0;0;0;15,21;23,4;59;32;254,0;254,0;0;0,22;4,6;4;90,5;-0,0;37,28;2,14;0,0;18,3;10,13;-0,0;0;0
25448;0,0;-0,03;42,01;-1,27;0,02;0,13;1100;0;0;0;15,08;23,4;59;32;254,0;254,0;0;0,23;4,7;5;90,5;-0,0;36,95;0,67;4,39;18,34;10,16;-0,0;0;0
25458;0,0;-0,01;42,0;-0,98;0,05;0,14;1085;0;0;0;14,85;24,0;60;32;254,0;254,0;0;0,23;4,7;5;90,5;-0,0;37,32;1,72;4,62;18,34;10,19;-0,0;0;0
25468;0,0;-0,01;42,01;-1,0;0,03;0,32;1085;0;0;0;14,58;24,0;60;32;254,0;254,0;0;0,23;4,7;5;90,5;-0,0;36,63;0,88;10,63;18,34;10,22;-0,0;0;0
25478;0,0;-0,01;42,01;-1,06;0,0;0,22;1085;0;0;0;14,45;24,0;60;32;254,0;254,0;0;0,23;4,6;6;90,5;-0,0;36,32;0,04;7,39;18,38;10,26;-0,0;0;0
25488;0,0;-0,03;41,97;-1,36;-0,04;0,25;1085;0;0;0;14,49;24,0;60;32;254,0;254,0;0;0,23;4,6;6;90,5;-0,0;36,41;1,43;8,31;18,38;10,3;-0,0;0;0
25498;0,0;-0,02;42,01;-0,84;0,03;0,03;1085;0;0;0;14,78;23,7;61;32;254,0;254,0;0;0,23;4,6;6;90,5;-0,0;36,67;1,09;0,92;18,38;10,34;-0,0;0;0
25508;0,0;-0,02;42,0;-1,32;0,0;0,07;1085;0;0;0;14,54;23,7;61;32;254,0;254,0;0;0,23;4,7;7;90,5;-0,0;36,09;0,04;2,31;18,42;10,38;-0,0;0;0
25518;0,0;-0,02;42,0;-0,97;-0,02;0,01;1085;0;0;0;14,69;23,7;61;32;254,0;254,0;0;0,23;4,7;7;90,5;-0,0;36,46;0,59;0,46;18,42;10,42;-0,0;0;0
25528;0,0;-0,02;42,0;-1,2;0,03;0,12;1085;0;0;0;14,49;23,9;62;32;254,0;254,0;0;0,23;4,7;7;90,5;-0,0;36,25;1,09;4,16;18,42;10,47;-0,0;0;0
25538;0,0;-0,02;42,0;-1,06;-0,0;0,1;1085;0;0;0;14,31;23,9;62;32;254,0;254,0;0;0,23;4,7;8;90,5;-0,0;35,82;0,17;3,23;18,46;10,52;-0,0;0;0
25548;0,0;-0,01;42,01;-0,9;0,06;0,29;1085;0;0;0;14,25;23,9;62;32;254,0;254,0;0;0,24;4,7;8;90,5;-0,0;35,66;1,93;9,7;18,46;10,57;-0,0;0;0
25558;0,0;-0,03;42,01;-1,1;-0,0;0,16;1085;0;0;0;14,07;23,9;62;32;254,0;254,0;0;0,24;4,7;8;90,5;-0,0;35,21;0,17;5,31;18,46;10,63;-0,0;0;0
