ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
9;0,0;-0,01;42,02;-0,04;0,01;0,06;0;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,0;0,46;2,08;0,0;0,0;-0,0;0;0
19;0,0;-0,02;42,02;-0,04;0,0;0,16;0;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,0;0,04;5,55;0,0;0,0;-0,0;0;0
29;0,0;-0,02;42,02;-0,03;0,02;0,04;0;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,0;0,67;1,39;0,0;0,0;-0,0;0;0
39;0,0;-0,01;42,02;-0,02;0,01;0,13;0;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,0;0,46;4,39;0,0;0,0;-0,0;0;0
49;0,0;-0,02;42,02;-0,03;0,02;0,04;0;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,0;0,67;1,39;0,0;0,0;-0,0;0;0
59;0,0;-0,03;42,02;-0,02;0,01;0,16;0;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,0;0,46;5,55;0,0;0,0;-0,0;0;0
69;0,0;-0,01;42,01;-0,04;0,03;0,1;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,0;0,88;3,47;0,0;0,0;-0,0;0;0
79;0,0;-0,02;42,02;-0,04;0,01;0,2;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,01;0,46;6,7;0,0;0,0;-0,0;0;0
89;0,0;-0,03;42,02;-0,04;0,02;0,1;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,01;0,67;3,24;0,0;0,0;-0,0;0;0
99;0,0;-0,01;42,02;-0,07;0,01;0,19;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,01;0,25;6,47;0,0;0,0;-0,0;0;0
109;0,0;-0,03;42,01;-0,08;0,0;0,1;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,01;0,04;3,23;0,0;0,0;-0,0;0;0
119;0,0;-0,02;42,01;-0,19;0,03;0,2;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,01;0,88;6,7;0,0;0,0;-0,0;0;0
129;0,0;-0,03;42,05;-0,1;0,03;0,14;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,01;1,09;4,86;0,0;0,0;-0,0;0;0
139;0,0;-0,01;42,02;-0,1;0,03;0,21;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,02;0,88;7,16;0,0;0,0;-0,0;0;0
149;0,0;-0,02;42,02;-0,08;0,03;0,05;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,02;0,88;1,85;0,0;0,0;-0,0;0;0
159;0,0;-0,01;42,02;-0,08;0,03;0,16;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,02;1,09;5,55;0,0;0,0;-0,0;0;0
169;0,0;-0,03;42,02;-0,07;0,02;0,07;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,02;0,67;2,31;0,0;0,0;-0,0;0;0
179;0,0;-0,03;42,02;-0,03;0,02;0,19;500;0;0;2;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,02;0,67;6,24;0,0;0,0;-0,0;0;0
189;0,0;-0,03;42,02;-0,04;0,01;0,08;500;0;0;0;0,0;0,0;32;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,02;0,25;2,54;0,0;0,0;-0,0;0;0
199;0,0;-0,02;42,02;-0,07;0,01;0,2;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,03;0,46;6,7;0,0;0,0;-0,0;0;0
209;0,0;-0,02;42,02;-0,05;0,01;0,07;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,03;0,25;2,31;0,0;0,0;-0,0;0;0
219;0,0;-0,02;42,01;-0,1;-0,0;0,14;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,03;0,17;4,62;0,0;0,0;-0,0;0;0
229;0,0;-0,01;42,02;-0,09;0,0;0,03;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,03;0,04;1,16;0,0;0,0;-0,0;0;0
239;0,0;-0,02;42,02;-0,13;-0,0;0,16;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,03;0,17;5,32;0,0;0,0;-0,0;0;0
249;0,0;-0,03;42,02;-0,14;0,01;0,05;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,03;0,46;1,62;0,0;0,0;-0,0;0;0
259;0,0;-0,01;42,02;-0,12;0,02;0,19;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,03;0,67;6,24;0,0;0,0;-0,0;0;0
269;0,0;-0,02;42,02;-0,14;0,04;0,06;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,04;1,3;2,08;0,0;0,0;-0,0;0;0
279;0,0;-0,02;42,02;-0,09;0,03;0,21;500;0;0;0;0,0;0,0;33;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,04;1,09;6,93;0,0;0,0;-0,0;0;0
289;0,0;-0,03;42,02;-0,07;0,03;0,1;500;0;0;0;0,34;9,5;34;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,34;0,88;3,47;0,0;0,0;-0,0;0;0
299;0,0;-0,03;42,02;-0,06;0,02;0,23;500;0;0;0;0,35;9,5;34;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,35;0,67;7,63;0,0;0,0;-0,0;0;0
309;0,0;-0,03;42,02;-0,05;0,03;0,11;500;0;0;0;0,35;9,5;34;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,35;1,09;3,7;0,0;0,0;-0,0;0;0
319;0,0;-0,02;42,02;-0,04;-0,0;0,21;500;0;0;0;0,34;9,5;34;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,34;0,17;7,16;0,0;0,0;-0,0;0;0
329;0,0;-0,03;42,02;-0,04;-0,0;0,08;500;0;0;0;0,28;9,5;34;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,28;0,17;2,77;0,0;0,0;-0,0;0;0
339;0,0;-0,03;42,02;-0,08;0,02;0,21;500;0;0;0;0,27;9,5;34;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,27;0,67;7,16;0,0;0,0;-0,0;0;0
349;0,0;-0,03;42,02;-0,09;0,0;0,05;500;0;0;0;0,26;9,5;34;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,26;0,04;1,85;0,0;0,0;-0,0;0;0
359;0,0;-0,03;42,0;-0,06;0,01;0,19;500;0;0;0;0,26;9,5;34;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,26;0,25;6,24;0,0;0,0;-0,0;0;0
369;0,0;-0,03;42,02;-0,06;0,01;0,06;500;0;0;0;0,23;10,6;35;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,26;0,46;2,08;0,0;0,0;-0,0;0;0
379;0,0;-0,02;42,01;-0,13;0,0;0,19;500;0;0;0;0,23;10,6;35;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,26;0,04;6,47;0,0;0,0;-0,0;0;0
389;0,0;-0,03;42,01;-0,14;0,01;0,07;500;0;0;0;0,26;10,6;35;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,29;0,25;2,31;0,0;0,0;-0,0;0;0
399;0,0;-0,03;42,02;-0,11;0,01;0,19;500;0;0;0;0,29;10,6;35;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,32;0,46;6,24;0,0;0,0;-0,0;0;0
409;0,0;-0,02;42,02;-0,14;0,04;0,04;500;0;0;0;0,3;10,6;35;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,34;1,3;1,39;0,0;0,0;-0,0;0;0
419;0,0;-0,02;42,02;-0,15;0,03;0,2;500;0;0;0;0,33;10,6;35;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,37;0,88;6,7;0,0;0,0;-0,0;0;0
429;0,0;-0,03;42,02;-0,09;0,04;0,1;500;0;0;0;0,35;10,6;35;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,39;1,3;3,47;0,0;0,0;-0,0;0;0
439;0,0;-0,01;42,02;-0,07;0,03;0,22;500;0;0;0;0,35;10,6;35;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,39;0,88;7,39;0,0;0,0;-0,0;0;0
449;0,0;-0,03;42,02;-0,06;0,03;0,11;500;0;0;0;0,33;10,6;36;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,36;0,88;3,7;0,0;0,0;-0,0;0;0
459;0,0;-0,03;42,02;-0,05;0,03;0,21;500;0;0;0;0,3;10,6;36;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,33;0,88;7,16;0,0;0,0;-0,0;0;0
469;0,0;-0,02;42,02;-0,05;0,01;0,08;500;0;0;0;0,28;10,6;36;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,31;0,46;2,54;0,0;0,0;-0,0;0;0
479;0,0;-0,02;42,02;-0,03;0,02;0,21;500;0;0;0;0,25;10,6;36;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,28;0,67;6,93;0,0;0,0;-0,0;0;0
489;0,0;-0,02;42,01;-0,06;-0,0;0,1;500;0;0;0;0,24;10,6;36;32;254,0;254,0;0;0,0;0,8;112;90,5;-0,0;0,26;0,17;3,47;0,0;0,0;-0,0;0;0
