ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
31718;0,0;-0,03;42,02;-0,04;0,01;0,14;0;0;0;0;0,07;5,4;69;32;254,0;254,0;0;0,13;2,7;204;90,5;-0,0;0,04;0,46;4,85;26,15;5,25;-0,0;0;0
31728;0,0;-0,02;42,02;-0,03;0,01;0,06;0;0;0;0;0,0;5,4;69;32;254,0;254,0;0;0,13;2,7;204;90,5;-0,0;0,0;0,46;2,08;26,15;0,08;-0,0;0;0
31738;0,0;-0,02;42,02;-0,04;-0,0;0,14;0;0;0;0;0,0;5,4;69;32;254,0;254,0;0;0,13;2,7;204;90,5;-0,0;0,0;0,17;4,62;26,15;0,16;-0,0;0;0
31748;0,0;-0,01;42,02;-0,04;0,03;0,06;0;0;0;0;0,01;5,4;69;32;254,0;254,0;0;0,13;2,7;204;90,5;-0,0;0,0;0,88;2,08;26,15;0,24;-0,0;0;0
31758;0,0;-0,01;42,02;-0,03;0,02;0,17;0;0;0;0;0,01;5,4;69;32;254,0;254,0;0;0,13;2,6;205;90,5;-0,0;0,0;0,67;5,78;26,19;0,32;-0,0;0;0
31768;0,0;-0,02;42,02;-0,03;0,01;0,09;0;0;0;0;0,01;5,4;69;32;254,0;254,0;0;0,13;2,6;205;90,5;-0,0;0,01;0,46;3,0;26,19;0,39;-0,0;0;0
31778;0,0;-0,01;42,02;-0,04;0,0;0,19;0;0;0;0;0,01;5,4;69;32;254,0;254,0;0;0,13;2,6;205;90,5;-0,0;0,01;0,04;6,47;26,19;0,47;-0,0;0;0
31788;0,0;-0,02;42,02;-0,03;0,01;0,08;0;0;0;0;0,02;5,4;69;32;254,0;254,0;0;0,13;2,6;205;90,5;-0,0;0,01;0,46;2,77;26,19;0,55;-0,0;0;0
31798;0,0;-0,03;42,02;-0,04;0,01;0,16;0;0;0;0;0,02;5,4;69;32;254,0;254,0;0;0,13;2,6;205;90,5;-0,0;0,01;0,25;5,32;26,19;0,63;-0,0;0;0
31808;0,0;-0,01;42,02;-0,03;0,01;0,08;0;0;0;0;0,02;5,4;69;32;254,0;254,0;0;0,13;2,5;206;90,5;-0,0;0,01;0,25;2,77;26,23;0,7;-0,0;0;0
31818;0,0;-0,02;42,02;-0,04;0,01;0,19;0;0;0;0;0,03;5,4;69;32;254,0;254,0;0;0,13;2,5;206;90,5;-0,0;0,02;0,46;6,24;26,23;0,78;-0,0;0;0
31828;0,0;-0,03;42,02;-0,02;0,01;0,12;0;0;0;0;0,03;5,4;69;32;254,0;254,0;0;0,13;2,5;206;90,5;-0,0;0,02;0,46;3,93;26,23;0,85;-0,0;0;0
31838;0,0;-0,01;42,02;-0,04;0,02;0,16;0;0;0;0;0,04;5,4;69;32;254,0;254,0;0;0,13;2,5;206;90,5;-0,0;0,02;0,67;5,55;26,23;0,92;-0,0;0;0
31848;0,0;-0,01;42,02;-0,04;0,01;0,05;0;0;0;0;0,04;5,4;69;32;254,0;254,0;0;0,13;2,5;206;90,5;-0,0;0,02;0,46;1,85;26,23;1,0;-0,0;0;0
31858;0,0;-0,01;42,02;-0,03;0,01;0,15;0;0;0;0;0,05;5,4;69;32;254,0;254,0;0;0,13;2,5;206;90,5;-0,0;0,03;0,25;5,08;26,23;1,07;-0,0;0;0
31868;0,0;-0,02;42,02;-0,02;0,01;0,06;0;0;0;0;0,05;5,4;69;32;254,0;254,0;0;0,13;2,5;206;90,5;-0,0;0,03;0,46;2,08;26,23;1,14;-0,0;0;0
31878;0,0;-0,01;42,02;-0,03;0,02;0,19;0;0;0;0;0,06;5,4;69;32;254,0;254,0;0;0,13;2,3;207;90,5;-0,0;0,03;0,67;6,24;26,27;1,22;-0,0;0;0
31888;0,0;-0,01;42,02;-0,04;0,0;0,07;0;0;0;0;0,06;5,4;69;32;254,0;254,0;0;0,13;2,3;207;90,5;-0,0;0,03;0,04;2,31;26,27;1,29;-0,0;0;0
31898;0,0;-0,01;42,02;-0,03;0,01;0,18;0;0;0;0;0,07;5,4;69;32;254,0;254,0;0;0,13;2,3;207;90,5;-0,0;0,04;0,46;6,01;26,27;1,36;-0,0;0;0
31908;0,0;-0,01;42,02;-0,02;0,01;0,08;0;0;0;0;0,07;5,4;69;32;254,0;254,0;0;0,13;2,3;207;90,5;-0,0;0,04;0,46;2,54;26,27;1,42;-0,0;0;0
31918;0,0;-0,02;42,02;-0,03;0,01;0,16;0;0;0;0;0,08;5,4;69;32;254,0;254,0;0;0,13;2,3;207;90,5;-0,0;0,05;0,46;5,55;26,27;1,49;-0,0;0;0
31928;0,0;-0,02;42,02;-0,03;0,01;0,05;0;0;0;0;0,08;5,4;69;32;254,0;254,0;0;0,14;2,3;207;90,5;-0,0;0,04;0,46;1,62;26,27;1,56;-0,0;0;0
31938;0,0;-0,02;42,02;-0,04;0,02;0,17;0;0;0;0;0,08;5,4;69;32;254,0;254,0;0;0,13;2,2;208;90,5;-0,0;0,04;0,67;5,78;26,31;1,63;-0,0;0;0
31948;0,0;-0,03;42,02;-0,04;0,01;0,1;0;0;0;0;0,08;5,4;69;32;254,0;254,0;0;0,13;2,2;208;90,5;-0,0;0,04;0,25;3,47;26,31;1,7;-0,0;0;0
31958;0,0;-0,01;42,02;-0,03;0,02;0,16;0;0;0;0;0,08;5,4;69;32;254,0;254,0;0;0,13;2,2;208;90,5;-0,0;0,04;0,67;5,32;26,31;1,76;-0,0;0;0
31968;0,0;-0,01;42,02;-0,02;0,01;0,05;0;0;0;0;0,08;5,4;69;32;254,0;254,0;0;0,13;2,2;208;90,5;-0,0;0,04;0,25;1,85;26,31;1,83;-0,0;0;0
31978;0,0;-0,01;42,02;-0,02;0,01;0,14;0;0;0;0;0,07;5,4;69;32;254,0;254,0;0;0,13;2,2;208;90,5;-0,0;0,04;0,46;4,85;26,31;1,89;-0,0;0;0
